PAIS,ENERO_ATE,DESP,FEBRERO_ATE,DESP,MARZO_ATE,,DESP,ABRIL_ATE,DESP,MAYO_ATE,DESP,JUNIO_ATE,DESP,JULIO_ATE,DESP,AGOSTO_ATE,DESP,SEPTIEMBRE_ATE,DESP,OCTUBRE_ATE,DESP,NOVIEMBRE_ATE,DESP,DICIEMBRE_ATE,DESP,TOTALES_ATE,DESP
EL SALVADOR,82,82,86,86,87,,87,91,91,96,96,122,121,0,0,0,0,0,0,0,0,0,0,0,0,564,563
LOS ANGELES,61,61,39,39,48,,48,40,40,45,45,46,47,0,0,0,0,0,0,0,0,0,0,0,0,279,280
FUERZA AEREA CANADIENCE,0,0,1,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
LAS VEGAS,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SAN PEDRO SULA, HONDURAS",14,14,0,0,1,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
JOHN F. KENNEDY,30,30,13,13,13,,13,13,13,13,13,29,29,0,0,0,0,0,0,0,0,0,0,0,0,111,111
MANAGUA,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HONUDRAS,0,0,0,1,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
NEWARK,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RAMON VILLA MORALES HONDURA,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANCUN,18,18,15,15,18,,18,17,17,18,18,15,17,0,0,0,0,0,0,0,0,0,0,0,0,101,103
COMAYAGUA HONDURAS,11,11,16,16,18,,18,17,17,14,14,12,13,0,0,0,0,0,0,0,0,0,0,0,0,88,89
ORLANDO,13,13,1,1,1,,1,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,27,28
HOUSTON,31,31,0,0,0,,0,0,0,0,0,29,30,0,0,0,0,0,0,0,0,0,0,0,0,60,61
WASHINGTON,0,0,18,18,18,,18,18,18,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,76
Massachusetts,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COSTA RICA,106,106,46,46,47,,47,47,47,49,49,59,59,0,0,0,0,0,0,0,0,0,0,0,0,354,354
"BOGOTA, COLOMBIA",44,44,44,44,47,,47,45,45,44,43,43,44,0,0,0,0,0,0,0,0,0,0,0,0,267,267
TOTAL,410,410,279,279,299,,299,288,288,303,302,370,373,0,0,0,0,0,0,0,0,0,0,0,0,1949,1951
