Fecha Reporte;Hora Reporte;Tipo;Departamento;Municipio;Lugar;Latitud;Longitud;Hectáreas
1/07/2021;15:00:00;No Forestal;Peten;La Libertad;Oeste de Yaxchilán, PNSL                                                            ;16.98083333;-90.95527778;1.5
26/07/2021;16:30:00;Forestal;Peten;San Benito;Colonia Juarez,;16.91333333;-89.94444444;0.5
16/08/2021;11:00:00;Forestal;Peten;San Benito;Colonia Juarez;16.91555556;-89.94888889;2
16/08/2021;11:00:00;No Forestal;Peten;San Benito;Colonia Juarez;16.91555556;-89.94888889;2
14/10/2021;13:00:00;Forestal;Alta Verapaz;Lanquin;Cerro Cawa MontFinca Chamel;15.56416667;-89.98722222;2.5
16/10/2021;13:44:00;No Forestal;Zacapa;Zacapa;Colonia Metrópolis de Oriente, Aldea La Majada;14.94388889;-90.20194444;3.3
18/10/2021;15:30:00;Forestal;Quiche;Santa Cruz Del Quiche;Caserío Chicorral;15.04361111;-91.18333333;3
22/10/2021;15:40:00;Forestal;Peten;Poptun;Caserio Las Canoas;16.37166667;-89.40222222;0.5
4/11/2021;13:50:00;No Forestal;Zacapa;Rio Hondo;Sunzapote;15.04194444;-89.59527778;1
10/11/2021;09:00:00;No Forestal;Zacapa;Rio Hondo;Aldea Pasabien;15.03833333;-89.67416667;5
11/11/2021;20:07:00;Forestal;Peten;Poptun;Colonia Nueva Jerusalén;16.31861111;-89.445;0.6
30/11/2021;17:00:00;Forestal;Solola;Santa Lucia Utatlan;Aldea El Novillero;14.79444444;-91.25222222;0.5
1/12/2021;09:00:00;No Forestal;Zacapa;Rio Hondo;Aldea Platanar, Panaluya;15.04083333;-89.59444444;1
3/12/2021;11:00:00;No Forestal;Zacapa;Zacapa;Caserío la Linea;14.84186667;-90.18539444;2
6/12/2021;11:30:00;Forestal;El Progreso;Guastatoya;Colonia  Linda Vista;14.84472222;-90.06305556;1.5
7/12/2021;14:00:00;No Forestal;Baja Verapaz;San Miguel Chicaj;Aldea El Progreso, Cerro El Portezuelo;14.91638889;-90.08555556;4
7/12/2021;12:30:00;Forestal;El Progreso;Guastatoya;Aldea Palo Amontonado;15.10694444;-90.35611111;4.23
8/12/2021;16:00:00;No Forestal;Guatemala;Guatemala;Parque ecológico de Pinares del Norte zona 18 Distrito 3;14.6675;-90.42916667;0.1
9/12/2021;20:40:00;Forestal;Solola;Panajachel;Montaña colindante Barrio Norte;14.75277778;-91.14833333;0.08
11/12/2021;14:00:00;No Forestal;Guatemala;Villa Nueva;Ingreso a Residenciales las Flores;14.55277778;-90.59194444;1
14/12/2021;06:00:00;Forestal;Quiche;Santa Cruz Del Quiche;Aldea Pamesebal 1;15.02944444;-91.1675;5
16/12/2021;13:00:00;Forestal;Solola;Santa Catarina Palopo;Cerro Chocruz;14.72722222;-91.13694444;1
21/12/2021;13:00:00;No Forestal;Guatemala;Guatemala;Colonia La Loma zona 18;14.66111111;-90.43833333;0.01
22/12/2021;15:00:00;Forestal;Quiche;Canilla;Aldea Sajcap;15.14444444;-90.85833333;9
23/12/2021;16:30:00;No Forestal;Guatemala;Villa Nueva;Km.13 CA-9 en zona 12;14.55444444;-90.57555556;0.5
25/12/2021;21:45:00;No Forestal;Guatemala;Chinautla;Sector 7 Villas del Milagro zona 0;14.82416667;-91.48861111;0.01
25/12/2021;14:00:00;No Forestal;Guatemala;Mixco;Parque Deportivo y Recreativo Planes de Minerva;14.69972222;-90.51916667;0.02
25/12/2021;14:40:00;Forestal;Quetzaltenango;Almolonga;Sector La Cumbre ;14.6825;-90.5475;0.5
25/12/2021;13:30:00;Forestal;Quiche;Zacualpa;Aldea Trapichitos I;15.04722222;-90.99583333;4
26/12/2021;11:30:00;Forestal;Baja Verapaz;Salama;Aldea Las Limas, CA-14 kilómetro 121.300;14.97222222;-90.24527778;0.5
26/12/2021;13:30:00;Forestal;Guatemala;Petapa;Parque la Cerra;14.47444444;-90.56888889;1
27/12/2021;15:00:00;No Forestal;Guatemala;Guatemala;Jardines del Norte zona 18;14.58777778;-90.61722222;0.01
27/12/2021;09:00:00;Forestal;Guatemala;Mixco;Finca el carmen zona 9 ;14.68805556;-90.44555556;0.5
27/12/2021;12:30:00;Forestal;Huehuetenango;Chiantla;Aldea Huitol Grande, Chancol;14.61916667;-91.17055556;15
27/12/2021;12:30:00;Forestal;Solola;San Lucas Toliman;Faldas del Volcán Tolimán  ;15.48694444;-91.47555556;1
28/12/2021;14:30:00;No Forestal;Guatemala;Chinautla;Sector 4 Villas del Milagro zona 0 de Chinautla;14.70111111;-90.52888889;0.5
28/12/2021;16:00:00;No Forestal;Guatemala;Palencia;El Fiscal Colonia El Simarron;14.72055556;-90.38305556;0.2
29/12/2021;14:00:00;Forestal;Huehuetenango;Huehuetenango;Ruinas Zaculeu zona 9;15.34222222;-91.48972222;1.5
29/12/2021;18:00:00;Forestal;Quiche;San Antonio Ilotenango;Caserío Pacbaltem, Aldea Sac Xac;15.02833333;-91.25805556;3
30/12/2021;14:30:00;No Forestal;Chimaltenango;El Tejar;Bosque Tzanjuyu ;14.80611111;-91.0025;0.2
30/12/2021;06:00:00;Forestal;Chimaltenango;Santa Cruz Balanyá;Sector El Potrero;14.68138889;-90.91222222;1
30/12/2021;13:00:00;No Forestal;El Progreso;San Agustin Acasaguastlan;Km.86 El Rancho;15.04472222;-91.89416667;0.5
30/12/2021;14:00:00;Forestal;El Progreso;Sanarate;Colonia Los Cipreces;15.10055556;-89.61722222;1
30/12/2021;17:30:00;No Forestal;Guatemala;Palencia;Brisas del Fiscal;14.62944444;-90.77944444;0.02
30/12/2021;14:00:00;Forestal;Quetzaltenango;Quetzaltenango;Cerro Candelaria;14.92527778;-90.01166667;4.5
30/12/2021;14:00:00;Forestal;San Marcos;Tajumulco;Volcan Tajumulco;13.79472222;-90.18944444;3
30/12/2021;12:30:00;Forestal;Zacapa;Rio Hondo;Aldea El Chorro Panaluya;14.72055556;-92.64166667;68.47
31/12/2021;18:00:00;No Forestal;Guatemala;San Pedro Ayampuc;Kilómetro 12.5;14.57944444;-90.60666667;4
31/12/2021;12:30:00;No Forestal;Guatemala;Villa Nueva;Sector 3 Residenciales Jerusalén Cuidad Peronia;14.505;-89.62555556;0.08
31/12/2021;14:10:00;No Forestal;Guatemala;Villa Nueva;26 calle Zona 4 Santa Isabel;14.51;-90.57777778;0.04
31/12/2021;14:00:00;Forestal;Jalapa;Monjas;Caserío Los Izotes;14.71472222;-90.45361111;1
31/12/2021;14:00:00;No Forestal;Jalapa;Monjas;Aldea La Campana;14.47388889;-89.86777778;1
31/12/2021;14:08:00;Forestal;San Marcos;Pajapita;Cantón Pueblo Nuevo;14.72595;-92.04258333;0.87
1/01/2022;15:20:00;Forestal;Chimaltenango;Comalapa;Cerro Cupilaf;14.58527778;-89.98805556;1
1/01/2022;09:00:00;No Forestal;Chimaltenango;El Tejar;Colonia Los Pinos II;15.06111111;-91.15666667;1
1/01/2022;12:00:00;Forestal;Chimaltenango;Tecpán Guatemala;Km.84 Ruta Interamericana;14.9025;-91.14388889;1.5
1/01/2022;11:00:00;No Forestal;Guatemala;Villa Nueva;Terrazas II Ciudad Peronia;15.0225;-91.16305556;1
1/01/2022;16:30:00;Forestal;Jalapa;Jalapa;Aldea Los Tablones;15.04777778;-90.87444444;1
1/01/2022;19:00:00;No Forestal;Jalapa;Monjas;Colonia Palestina I;14.88194444;-90.9825;1
1/01/2022;12:32:00;Forestal;Jalapa;Monjas;Agua Tibia;15.02305556;-91.16;1
1/01/2022;15:55:00;Forestal;Quiche;Chichicastenango;Cantón Pocohil Primero;14.74722222;-90.97222222;1
1/01/2022;09:30:00;No Forestal;Quiche;Santa Cruz Del Quiche;Colonia Buena Vista;ERROR: Server error: Entry not found in index;ERROR: Server error: Entry not found in index;0.5
1/01/2022;14:30:00;No Forestal;Quiche;Santa Cruz Del Quiche;Ruinas de Gumarkaah;14.61666667;-90.79555556;1
1/01/2022;12:00:00;Forestal;Quiche;Santa Cruz Del Quiche;Lotificación María zona 2;ERROR: Server error: Entry not found in index;ERROR: Server error: Entry not found in index;0.5
1/01/2022;10:00:00;Forestal;Quiche;Zacualpa;Aldea Trapichitos I;14.49906774;-89.85279761;4
2/01/2022;12:00:00;No Forestal;Guatemala;Guatemala;Residenciales Soloma kilometro 14.5 al Atlantico ;15.32277778;-91.50611111;0.5
2/01/2022;12:15:00;No Forestal;Guatemala;Villa Canales;Cañadas de Elgin, Zona 03, Boca del Monte;15.31333333;-91.49916667;1.05
2/01/2022;14:10:00;No Forestal;Huehuetenango;Huehuetenango;Colonia La Pista, zaculeu zona 9;14.55365278;-90.52937222;0.4
2/01/2022;10:00:00;No Forestal;Huehuetenango;Huehuetenango;El Rastro, El Cambote zona 11;14.68222222;-90.41194444;0.5
4/01/2022;12:30:00;Forestal;Jalapa;Jalapa;Aldea Orchoj;14.5425;-89.99;10
6/01/2022;20:00:00;No Forestal;Jalapa;Jalapa;Colonia Prados de Oriente;14.63388889;-89.97888889;5
6/01/2022;13:14:00;Forestal;Quiche;Cunen;La Cumbre de Xewuinicabaj  ;15.31833333;-91.03305556;5
7/01/2022;08:00:00;No Forestal;El Progreso;Guastatoya;Aldea El Subinal;14.85916667;-90.07305556;1.5
7/01/2022;14:30:00;No Forestal;El Progreso;Sanarate;Aldea Trapichito;14.85583333;-90.14472222;0.5
8/01/2022;17:30:00;No Forestal;Guatemala;Guatemala;Cabecera de la pista 20, del boulevard Liberación Zona 13;14.59722222;-90.52333333;0.02
9/01/2022;11:30:00;Forestal;Quiche;Sacapulas;Caserío San Jorge, Sacapulas;15.03694444;-91.1775;0.5
9/01/2022;13:00:00;Forestal;Quiche;Santa Cruz Del Quiche;Aldea Chicorral;15.2775;-91.10944444;2
10/01/2022;13:00:00;No Forestal;Guatemala;Villa Nueva;Km. 14 CA-9 al norte zona 6;14.54444444;-90.58083333;4
10/01/2022;09:00:00;No Forestal;Huehuetenango;Huehuetenango;Instalaciones de Universidad Rural, Cambote zona 11;15.30722222;-91.49916667;1.5
